window_id,sim_id,sim_count,topology_type,topology_param,N,epsilon,beta,c,eta,kappa0,kappa_c_thresh,kappa_c_deriv,kappa_c_label,label_method,window_end_kappa,lead_fraction,gc_initial,gc_final,gc_drop,seed
sim_00001_win_000,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.26619737719063896,0.7,1.0,0.0,1.0,42
sim_00001_win_001,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.26665345479262764,0.7,1.0,0.0,1.0,42
sim_00001_win_002,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.2671095323946164,0.7,1.0,0.0,1.0,42
sim_00001_win_003,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.26756560999660506,0.7,1.0,0.0,1.0,42
sim_00001_win_004,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.2680216875985938,0.7,1.0,0.0,1.0,42
sim_00001_win_005,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.2684777652005825,0.7,1.0,0.0,1.0,42
sim_00001_win_006,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.26893384280257115,0.7,1.0,0.0,1.0,42
sim_00001_win_007,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.2693899204045599,0.7,1.0,0.0,1.0,42
sim_00001_win_008,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.26984599800654857,0.7,1.0,0.0,1.0,42
sim_00001_win_009,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.27030207560853725,0.7,1.0,0.0,1.0,42
sim_00001_win_010,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.270758153210526,0.7,1.0,0.0,1.0,42
sim_00001_win_011,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.27121423081251467,0.7,1.0,0.0,1.0,42
sim_00001_win_012,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3047815423188831,0.8,1.0,0.0,1.0,42
sim_00001_win_013,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30523761992087184,0.8,1.0,0.0,1.0,42
sim_00001_win_014,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3056936975228605,0.8,1.0,0.0,1.0,42
sim_00001_win_015,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3061497751248492,0.8,1.0,0.0,1.0,42
sim_00001_win_016,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30660585272683794,0.8,1.0,0.0,1.0,42
sim_00001_win_017,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3070619303288266,0.8,1.0,0.0,1.0,42
sim_00001_win_018,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30751800793081535,0.8,1.0,0.0,1.0,42
sim_00001_win_019,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30797408553280403,0.8,1.0,0.0,1.0,42
sim_00001_win_020,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30843016313479277,0.8,1.0,0.0,1.0,42
sim_00001_win_021,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30888624073678145,0.8,1.0,0.0,1.0,42
sim_00001_win_022,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30934231833877013,0.8,1.0,0.0,1.0,42
sim_00001_win_023,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.30979839594075886,0.8,1.0,0.0,1.0,42
sim_00001_win_024,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.34327449192672954,0.9,1.0,0.0,1.0,42
sim_00001_win_025,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3437305695287182,0.9,1.0,0.0,1.0,42
sim_00001_win_026,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.34418664713070696,0.9,1.0,0.0,1.0,42
sim_00001_win_027,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.34464272473269564,0.9,1.0,0.0,1.0,42
sim_00001_win_028,sim_00001,1,scale_free,,100,0.28160857342554857,0.506470649074157,0.11872359765319877,0.00015197519204045737,0.2630960494971158,0.38568970891167875,0.38559849339128105,0.38559849339128105,derivative,0.3450988023346844,0.9,1.0,0.0,1.0,42
